Date,Open,High,Low,Close,Adj Close,Volume
2017-07-01,1.031340,1.071760,0.989566,1.006690,1.006690,13613000
2017-07-02,0.996521,2.877510,0.822648,2.710050,2.710050,320452000
2017-07-03,2.717390,5.395970,2.632310,4.086640,4.086640,414950016
2017-07-04,4.098010,4.191240,2.933450,3.372000,3.372000,218559008
2017-07-05,3.356000,3.523500,2.730130,3.003230,3.003230,124339000
2017-07-06,3.014260,3.867470,3.007830,3.361330,3.361330,177463008
2017-07-07,3.351170,3.351170,2.713240,2.801110,2.801110,96596496
2017-07-08,2.824680,2.896960,2.085130,2.586900,2.586900,151162000
2017-07-09,2.600430,2.690450,2.193780,2.292230,2.292230,87525104
2017-07-10,2.253080,2.388410,1.722730,1.832640,1.832640,79608800
2017-07-11,1.785430,1.823250,1.419030,1.655820,1.655820,111023000
2017-07-12,1.644580,2.091430,1.537950,2.073280,2.073280,104621000
2017-07-13,2.084980,2.131800,1.710590,1.740770,1.740770,51203900
2017-07-14,1.733860,1.768820,1.541470,1.545530,1.545530,41025200
2017-07-15,1.553490,1.553490,1.302810,1.302810,1.302810,34208800
2017-07-16,1.290610,1.347170,1.185830,1.254080,1.254080,30802800
2017-07-17,1.254190,1.573600,1.254190,1.540080,1.540080,62295100
2017-07-18,1.543470,1.754460,1.476090,1.696860,1.696860,58108000
2017-07-19,1.699730,1.787690,1.538010,1.558760,1.558760,55057600
2017-07-20,1.566510,1.764170,1.566510,1.744920,1.744920,45949800
2017-07-21,1.755210,2.016110,1.727210,1.819870,1.819870,58164900
2017-07-22,1.815330,1.997480,1.814890,1.958420,1.958420,41809000
2017-07-23,1.959540,2.136400,1.741060,1.865080,1.865080,60205000
2017-07-24,1.878690,1.945820,1.817950,1.874250,1.874250,36585400
2017-07-25,1.877550,1.893310,1.552210,1.648070,1.648070,42547000
2017-07-26,1.643630,1.735810,1.473010,1.735810,1.735810,48693200
2017-07-27,1.748840,1.982610,1.729760,1.952560,1.952560,69371696
2017-07-28,1.963010,2.009740,1.845930,1.845930,1.845930,64730400
2017-07-29,1.831330,1.837800,1.661630,1.833080,1.833080,44021100
2017-07-30,1.830310,1.843030,1.713360,1.782200,1.782200,27580200
2017-07-31,1.774480,1.786140,1.707430,1.739640,1.739640,29657700
2017-08-01,1.746470,1.805590,1.677070,1.781160,1.781160,39175500
2017-08-02,1.781520,1.818600,1.758980,1.778410,1.778410,28880800
2017-08-03,1.776530,1.811770,1.746450,1.803980,1.803980,25878000
2017-08-04,1.802350,1.849550,1.798780,1.805390,1.805390,34183300
2017-08-05,1.801630,1.977030,1.763570,1.909320,1.909320,52324800
2017-08-06,1.903660,1.903660,1.724470,1.735340,1.735340,38436700
2017-08-07,1.732610,1.829730,1.706430,1.808530,1.808530,46022400
2017-08-08,1.810990,2.044440,1.789390,1.881100,1.881100,76270800
2017-08-09,1.882560,1.948170,1.809910,1.828560,1.828560,36813700
2017-08-10,1.832590,1.888460,1.825220,1.825220,1.825220,43519300
2017-08-11,1.830440,1.866400,1.770520,1.785990,1.785990,49178400
2017-08-12,1.787590,1.822400,1.656370,1.669040,1.669040,38131800
2017-08-13,1.667000,1.678960,1.578190,1.616490,1.616490,40514200
